"Data Source","World Development Indicators",

"Last Updated Date","2024-03-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Barbados","BRB","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2497589584.41853","2481354482.34932","2393431708.61356","2469595635.93802","2573050575.38164","2679912717.62737","2837498367.36625","3023248770.09256","3171265914.65772","3226718805.51398","3446570984.61562","3440856409.81038","3521998853.04986","3669641585.93843","3821340890.07469","4097062781.8737","4478812677.95219","4695492483.69743","4816773782.45276","4603544580.17765","4553011314.17976","4612838559.88539","4347076092.88804","4367569423.35771","4332576281.65786","4443444278.85575","4571591758.14772","4532263729.77789","4600763714.87413","4695643324.73628","4150981744.44272","4303521153.80117","5128611173.72457","",
"Brunei Darussalam","BRN","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14450109617.4131","15408743061.3974","16509841818.3488","16952657548.7417","17859283753.2782","19050412632.8206","19957590746.6769","20003072179.7589","20115237016.8534","21021308134.4865","22110111947.6952","23228621563.6443","24504099645.9353","25713344431.5388","26536753668.7613","27474956035.5065","29568272358.0279","30414305194.0122","30396365593.8609","30051400072.8521","31202967176.6399","33044207206.1251","35209872643.723","33885246844.1847","33344140243.0964","25948980972.9153","23633069098.5308","25891019749.5614","26527305077.7427","28047969447.1431","28736063986.5609","29549455512.484","31114910382.85","",
"Bhutan","BTN","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","874463560.271068","900348490.42099","963234698.756359","1005653530.32424","1077986799.34514","1178448218.43548","1266808704.92213","1357904133.31052","1454398543.39963","1592649560.6566","1683376859.59722","1865013303.69399","2102282746.73799","2311487258.49418","2516156729.05023","2784167395.82952","3070972936.19804","3733062036.04409","3987262805.89019","4283617798.38536","4852964251.88223","5349237441.53955","5870419221.90775","6001066161.58132","6590204409.57973","7313286405.6017","8147191502.49789","8785418675.91548","9311675575.77326","10024235009.0198","9117359866.07512","9948206862.91251","","",
"Botswana","BWA","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7804760163.93739","8670519304.92005","9126801735.0578","9522162454.83831","10078333990.1479","11013072427.6233","11868513890.9777","13078377909.2526","13284256461.8761","14773781266.8042","15408799117.1028","15795432331.5598","17015259520.048","18153714920.5152","19145427866.9317","20645540702.1854","23062623202.622","25057915501.1266","26369040488.248","22784449466.5298","25392277489.0175","27692393434.6991","26256767416.9216","28455534588.3188","32410568728.9131","30936562621.4058","35937958790.8469","35203223635.2295","37559317789.8641","39392411067.431","36423112359.4408","42577329366.1656","48212929193.3119","",
"Central African Republic","CAF","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1781544257.69919","1831615144.575","1753010156.05268","1800579181.3785","1929140675.40674","2111404422.0818","2064059017.51379","2210932525.92625","2340903900.00677","2459352225.4633","2452459053.47969","2619674574.42282","2756721239.36077","2659397659.60188","2894494248.06212","3012372945.01733","3253479785.99681","3495362385.01733","3635577476.73456","3973077426.84278","4207022668.79955","4474567487.04114","4889047036.92662","3284695704.66429","3215650000.89682","3536183568.04248","3861897992.35142","4195263790.82987","4458919449.35138","4679615555.68993","4783346547.62879","5047381192.12507","5429881089.97297","",
"Canada","CAN","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","560184961451.598","567048053070.888","585191423921.596","615002687930.821","656367194071.934","688183583810.055","712130924872.248","755390170461.408","793674327704.289","846412945809.995","900996986801.064","937786776176.929","971003788233.131","1023682523002.92","1083609294356.44","1171326187910.13","1241594039979.59","1301593351698.17","1342395839240.43","1307000908301.48","1363577286343.32","1430806739876.64","1468097961846.59","1554125000000","1621395561291.92","1594851775821.65","1678092366067.54","1765762548007.76","1852985933143.48","1899695367283.6","1838812704451.83","2126724625203.07","2389525108242.21","",
"Central Europe and the Baltics","CEB","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","785413407105.806","734225556446.6","736381511139.841","765464618613.307","813645236503.501","877846104204.333","920762578071.204","952478216458.648","993747663711.136","1024787818122.35","1086211961744.83","1162902807207.82","1249272888921.76","1315851741748.72","1433762278651.59","1517736081361.58","1684090566306.2","1872120189494.04","2065995634207.49","2064786967675.67","2174313647194.96","2324225535799.64","2401825514679.49","2474821722752.52","2580039092263.61","2698781954883.81","2858635108022.92","3064903979009.65","3282653232488.57","3632150922948.59","3662174300683.3","4046086917200.26","4523058627849.12","",
"Switzerland","CHE","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","191005018296.087","195655861759.977","200027191466.873","204510564935.933","211529959212.077","217004091175.056","222747306457.878","232005796537.153","240727947879.243","248201049346.696","263627541287.892","273454243730.002","281956062254.352","284293141607.109","296889791565.933","308825076428.302","346323158154.133","384574558162.247","411512093039.143","410201362487.713","425928053025.405","454912095759.708","475340741851.246","498760487993.313","519299911605.986","540550953723.454","563950610001.631","576360597477.87","601867859451.371","632274562999.588","630567393919.535","710318871754.097","796369094824.207","",
"Channel Islands","CHI","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59203058047.1669","66075689488.9344","76266176428.0563","84364770596.1308","91998301435.4067","104524476591.956","116331731225.654","127084960469.55","133888465432.254","135403695881.081","145355746590.521","153318324642.526","160694752306.449","171606263197.559","187973657579.204","205184272360.574","256070345435.466","278373958194.264","275754702392.004","271327829201.873","307855687102.772","349147795479.988","374316607190.942","392670429177.492","402902205063.588","405499639295.473","424831694242.452","450891852058.415","478093920870.082","492242468939.416","491479625113.883","568192015765.656","616274266917.814","",
